clientIP_s,In CIDR Range
198.235.24.239,no
111.7.96.156,no
18.220.154.78,no
18.143.202.27,no
121.199.163.151,no
44.247.2.146,no
205.210.31.33,no
4.155.210.27,no
34.79.208.213,no
196.251.88.60,no
196.251.80.2,no
64.62.197.7,no
112.94.252.57,no
36.32.3.129,no
64.62.197.5,no
143.198.204.165,no
121.29.51.28,no
3.94.114.20,no
121.43.117.140,no
64.62.197.13,no
15.235.227.163,no
180.163.220.51,no
135.237.126.230,no
35.205.208.255,no
218.91.224.85,yes
180.163.220.101,no
64.62.156.150,no
104.167.221.114,no
121.41.75.120,no
111.7.96.177,no
112.124.53.123,no
60.210.20.122,yes
18.143.202.116,no
23.32.20.195,yes
20.163.2.188,no
57.151.98.124,no
101.198.0.180,no
101.198.0.182,no
101.198.0.156,no
60.210.20.45,yes
66.249.77.192,no
198.235.24.57,no
198.235.24.137,no
135.119.16.170,no
111.7.96.152,no
123.160.221.141,no
54.224.118.44,no
64.62.197.11,no
45.88.91.163,no
195.184.76.25,no
205.210.31.205,no
64.62.197.8,no
64.62.197.2,no
20.65.193.198,no
60.210.20.244,yes
20.106.49.2,no
123.160.221.135,no
74.249.184.13,no
112.124.11.25,no
8.212.171.0,no
47.99.100.132,no
147.185.133.158,no
194.187.179.105,no
67.205.150.197,no
205.210.31.146,no
46.19.142.154,no
20.55.90.128,no
91.231.89.215,no
121.41.169.100,no
64.62.156.15,no
64.62.156.14,no
18.143.202.34,no
